Comunidades y Ciudades Autónomas	Provincias	Total
Andalucía	Almería	727.945
Andalucía	Almería	716.820
Andalucía	Cádiz	1.244.049
Andalucía	Cádiz	1.240.155
Andalucía	Córdoba	781.451
Andalucía	Córdoba	782.979
Andalucía	Granada	919.168
Andalucía	Granada	914.678
Andalucía	Huelva	524.278
Andalucía	Huelva	521.870
Andalucía	Jaén	631.381
Andalucía	Jaén	633.564
Andalucía	Málaga	1.685.920
Andalucía	Málaga	1.661.785
Andalucía	Sevilla	1.950.219
Andalucía	Sevilla	1.942.389
Aragón	Huesca	222.687
Aragón	Huesca	220.461
Aragón	Teruel	134.176
Aragón	Teruel	134.137
Aragón	Zaragoza	972.528
Aragón	Zaragoza	964.693
Asturias, Principado de	Asturias	1.018.784
Asturias, Principado de	Asturias	1.022.800
Cantabria	Cantabria	582.905
Cantabria	Cantabria	581.078
Castilla y León	Ávila	157.664
Castilla y León	Ávila	157.640
Castilla y León	Burgos	357.650
Castilla y León	Burgos	356.958
Castilla y León	León	456.439
Castilla y León	León	460.001
Castilla y León	Palencia	160.321
Castilla y León	Palencia	160.980
Castilla y León	Salamanca	329.245
Castilla y León	Salamanca	330.119
Castilla y León	Segovia	153.478
Castilla y León	Segovia	153.129
Castilla y León	Soria	88.884
Castilla y León	Soria	88.636
Castilla y León	Valladolid	520.649
Castilla y León	Valladolid	519.546
Castilla y León	Zamora	170.588
Castilla y León	Zamora	172.539
Castilla - La Mancha	Albacete	388.270
Castilla - La Mancha	Albacete	388.167
Castilla - La Mancha	Ciudad Real	495.045
Castilla - La Mancha	Ciudad Real	495.761
Castilla - La Mancha	Cuenca	196.139
Castilla - La Mancha	Cuenca	196.329
Castilla - La Mancha	Guadalajara	261.995
Castilla - La Mancha	Guadalajara	257.762
Castilla - La Mancha	Toledo	703.772
Castilla - La Mancha	Toledo	694.844
Cataluña	Barcelona	5.743.402
Cataluña	Barcelona	5.664.579
Cataluña	Girona	781.788
Cataluña	Girona	771.044
Cataluña	Lleida	438.517
Cataluña	Lleida	434.930
Cataluña	Tarragona	816.772
Cataluña	Tarragona	804.664
Comunitat Valenciana	Alicante/Alacant	1.879.888
Comunitat Valenciana	Alicante/Alacant	1.858.683
Comunitat Valenciana	Castellón/Castelló	585.590
Comunitat Valenciana	Castellón/Castelló	579.962
Comunitat Valenciana	Valencia/València	2.591.875
Comunitat Valenciana	Valencia/València	2.565.124
Extremadura	Badajoz	672.137
Extremadura	Badajoz	673.559
Extremadura	Cáceres	391.850
Extremadura	Cáceres	394.151
Galicia	Coruña, A	1.121.815
Galicia	Coruña, A	1.119.596
Galicia	Lugo	327.946
Galicia	Lugo	329.587
Galicia	Ourense	306.650
Galicia	Ourense	307.651
Galicia	Pontevedra	945.408
Galicia	Pontevedra	942.665
Madrid, Comunidad de	Madrid	6.779.888
Madrid, Comunidad de	Madrid	6.663.394
Murcia, Región de	Murcia	1.511.251
Murcia, Región de	Murcia	1.493.898
Navarra, Comunidad Foral de	Navarra	661.197
Navarra, Comunidad Foral de	Navarra	654.214
País Vasco	Araba/Álava	333.940
País Vasco	Araba/Álava	331.549
País Vasco	Bizkaia	1.159.443
País Vasco	Bizkaia	1.152.651
País Vasco	Gipuzkoa	727.121
País Vasco	Gipuzkoa	723.576
Rioja, La	Rioja, La	319.914
Rioja, La	Rioja, La	316.798
Ceuta	Ceuta	84.202
Ceuta	Ceuta	84.777
Melilla	Melilla	87.076
Melilla	Melilla	86.487
